customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_cell,Segment
92,7,15,5734.87,5,4,5,54,冠军(Champions)
93,1,24,10654.15,5,5,5,55,冠军(Champions)
94,233,1,75.57000000000001,1,1,1,11,流失客户(Hibernating)
95,119,7,1086.15,2,3,3,23,流失风险(At Risk)
96,1,17,4445.4,5,5,4,55,冠军(Champions)
97,191,2,282.6,2,1,2,21,流失客户(Hibernating)
98,1,26,16255.85,5,5,5,55,冠军(Champions)
99,33,6,346.3,4,3,2,43,新客/高活跃(New)
100,37,15,6087.34,4,4,5,44,冠军(Champions)
101,1,24,7556.84,5,5,5,55,冠军(Champions)
102,108,5,291.22,3,2,2,32,潜力客户(Potential)
103,82,5,1556.45,3,2,3,32,潜力客户(Potential)
104,59,8,1710.13,3,3,3,33,忠诚(Loyal)
105,67,15,6377.36,3,4,5,34,忠诚(Loyal)
106,41,14,4030.51,4,4,4,44,冠军(Champions)
107,89,7,1474.6000000000001,3,3,3,33,忠诚(Loyal)
108,74,5,574.99,3,2,2,32,潜力客户(Potential)
109,164,4,165.70999999999998,2,2,1,22,流失客户(Hibernating)
110,11,29,18789.63,4,5,5,45,冠军(Champions)
111,169,2,73.52,2,1,1,21,流失客户(Hibernating)
112,315,2,162.94,1,1,1,11,流失客户(Hibernating)
113,1,11,2885.89,5,4,4,54,冠军(Champions)
114,81,9,838.0,3,3,3,33,忠诚(Loyal)
115,1,27,14928.84,5,5,5,55,冠军(Champions)
116,1,26,11008.36,5,5,5,55,冠军(Champions)
117,149,2,177.38,2,1,1,21,流失客户(Hibernating)
118,34,13,2794.4,4,4,4,44,冠军(Champions)
119,133,4,365.1,2,2,2,22,流失客户(Hibernating)
120,336,3,98.47,1,1,1,11,流失客户(Hibernating)
121,306,4,293.34,1,2,2,12,流失客户(Hibernating)
122,160,2,222.01,2,1,1,21,流失客户(Hibernating)
123,159,4,297.25,2,2,2,22,流失客户(Hibernating)
124,311,3,423.92999999999995,1,1,2,11,流失客户(Hibernating)
125,129,7,1763.02,2,3,3,23,流失风险(At Risk)
126,246,3,103.66,1,1,1,11,流失客户(Hibernating)
127,1,30,9690.22,5,5,5,55,冠军(Champions)
128,132,4,430.09,2,2,2,22,流失客户(Hibernating)
129,1,27,8741.789999999999,5,5,5,55,冠军(Champions)
130,259,2,81.52000000000001,1,1,1,11,流失客户(Hibernating)
131,11,8,2293.15,4,3,4,43,忠诚(Loyal)
132,73,4,1151.26,3,2,3,32,潜力客户(Potential)
133,258,4,604.52,1,2,2,12,流失客户(Hibernating)
134,287,3,138.44,1,1,1,11,流失客户(Hibernating)
135,6,12,2550.2799999999997,5,4,4,54,冠军(Champions)
136,73,11,3532.27,3,4,4,34,忠诚(Loyal)
137,14,16,9674.3,4,5,5,45,冠军(Champions)
138,1,17,6819.92,5,5,5,55,冠军(Champions)
139,178,2,177.31,2,1,1,21,流失客户(Hibernating)
140,1,15,4783.99,5,4,4,54,冠军(Champions)
141,168,2,185.10000000000002,2,1,1,21,流失客户(Hibernating)
142,71,13,4761.96,3,4,4,34,忠诚(Loyal)
143,236,2,133.45,1,1,1,11,流失客户(Hibernating)
144,1,21,14037.19,5,5,5,55,冠军(Champions)
145,1,18,17290.09,5,5,5,55,冠军(Champions)
146,1,27,8382.73,5,5,5,55,冠军(Champions)
147,1,18,13454.64,5,5,5,55,冠军(Champions)
148,175,3,601.27,2,1,2,21,流失客户(Hibernating)
149,7,25,12974.15,5,5,5,55,冠军(Champions)
150,84,4,498.81,3,2,2,32,潜力客户(Potential)
151,97,7,1104.67,3,3,3,33,忠诚(Loyal)
152,1,15,4394.5,5,4,4,54,冠军(Champions)
153,109,6,294.5,3,3,2,33,潜力客户(Potential)
154,249,2,154.63,1,1,1,11,流失客户(Hibernating)
155,176,2,331.1,2,1,2,21,流失客户(Hibernating)
156,249,4,212.38,1,2,1,12,流失客户(Hibernating)
157,343,2,60.16,1,1,1,11,流失客户(Hibernating)
158,241,1,108.04,1,1,1,11,流失客户(Hibernating)
159,72,14,3142.7400000000002,3,4,4,34,忠诚(Loyal)
160,120,7,1229.6299999999999,2,3,3,23,流失风险(At Risk)
161,11,13,3803.43,4,4,4,44,冠军(Champions)
162,73,4,999.3900000000001,3,2,3,32,潜力客户(Potential)
163,1,23,19716.35,5,5,5,55,冠军(Champions)
164,169,3,276.64000000000004,2,1,2,21,流失客户(Hibernating)
165,3,15,1930.8,5,4,3,54,忠诚(Loyal)
166,108,8,1200.1399999999999,3,3,3,33,忠诚(Loyal)
167,129,5,517.09,2,2,2,22,流失客户(Hibernating)
168,122,3,145.36,2,1,1,21,流失客户(Hibernating)
169,309,4,193.07999999999998,1,2,1,12,流失客户(Hibernating)
170,71,8,728.01,3,3,3,33,忠诚(Loyal)
171,145,6,630.12,2,3,2,23,流失风险(At Risk)
172,129,3,354.15,2,1,2,21,流失客户(Hibernating)
173,97,8,1706.02,3,3,3,33,忠诚(Loyal)
174,24,5,1153.16,4,2,3,42,新客/高活跃(New)
175,256,2,47.870000000000005,1,1,1,11,流失客户(Hibernating)
176,33,10,3098.38,4,4,4,44,冠军(Champions)
177,1,15,12256.67,5,4,5,54,冠军(Champions)
178,281,1,106.54,1,1,1,11,流失客户(Hibernating)
179,67,11,2242.91,3,4,4,34,忠诚(Loyal)
180,71,11,4103.14,3,4,4,34,忠诚(Loyal)
181,85,6,1559.93,3,3,3,33,忠诚(Loyal)
182,57,14,4280.47,3,4,4,34,忠诚(Loyal)
183,46,10,3067.55,4,4,4,44,冠军(Champions)
184,320,4,215.41,1,2,1,12,流失客户(Hibernating)
185,1,12,3259.16,5,4,4,54,冠军(Champions)
186,1,28,22797.14,5,5,5,55,冠军(Champions)
187,264,1,108.33,1,1,1,11,流失客户(Hibernating)
188,253,4,201.53,1,2,1,12,流失客户(Hibernating)
189,40,15,2356.69,4,4,4,44,冠军(Champions)
190,54,16,5889.8099999999995,4,5,5,45,冠军(Champions)
191,68,12,1611.12,3,4,3,34,忠诚(Loyal)
192,61,9,847.6800000000001,3,3,3,33,忠诚(Loyal)
193,242,1,33.25,1,1,1,11,流失客户(Hibernating)
194,51,9,4928.67,4,3,4,43,忠诚(Loyal)
195,1,25,14723.5,5,5,5,55,冠军(Champions)
196,65,8,1748.01,3,3,3,33,忠诚(Loyal)
197,138,4,488.6,2,2,2,22,流失客户(Hibernating)
198,40,14,3800.38,4,4,4,44,冠军(Champions)
199,212,4,355.38,2,2,2,22,流失客户(Hibernating)
200,54,10,1306.55,4,4,3,44,忠诚(Loyal)
201,127,7,931.8,2,3,3,23,流失风险(At Risk)
202,286,2,134.41,1,1,1,11,流失客户(Hibernating)
203,383,2,85.89,1,1,1,11,流失客户(Hibernating)
204,1,19,6494.25,5,5,5,55,冠军(Champions)
205,227,4,273.53,1,2,2,12,流失客户(Hibernating)
206,12,8,2163.96,4,3,4,43,忠诚(Loyal)
207,305,2,179.57,1,1,1,11,流失客户(Hibernating)
208,51,11,3504.4300000000003,4,4,4,44,冠军(Champions)
209,79,6,1297.04,3,3,3,33,忠诚(Loyal)
210,85,7,648.86,3,3,2,33,潜力客户(Potential)
211,326,3,499.7,1,1,2,11,流失客户(Hibernating)
212,256,3,72.32,1,1,1,11,流失客户(Hibernating)
213,106,4,559.72,3,2,2,32,潜力客户(Potential)
214,41,9,1377.56,4,3,3,43,忠诚(Loyal)
215,377,1,23.11,1,1,1,11,流失客户(Hibernating)
216,252,2,206.59,1,1,1,11,流失客户(Hibernating)
217,42,12,1645.13,4,4,3,44,忠诚(Loyal)
218,134,5,916.05,2,2,3,22,流失客户(Hibernating)
219,1,24,11887.64,5,5,5,55,冠军(Champions)
220,277,1,23.29,1,1,1,11,流失客户(Hibernating)
221,7,8,1107.8,5,3,3,53,忠诚(Loyal)
222,50,12,4902.08,4,4,4,44,冠军(Champions)
223,4,17,5244.6,5,5,4,55,冠军(Champions)
224,68,7,2208.13,3,3,4,33,忠诚(Loyal)
225,1,26,13249.119999999999,5,5,5,55,冠军(Champions)
226,106,6,1922.55,3,3,3,33,忠诚(Loyal)
227,64,14,3509.19,3,4,4,34,忠诚(Loyal)
228,4,24,11146.91,5,5,5,55,冠军(Champions)
229,47,4,538.35,4,2,2,42,新客/高活跃(New)
230,60,8,1583.51,3,3,3,33,忠诚(Loyal)
231,1,30,12676.81,5,5,5,55,冠军(Champions)
232,57,16,4091.27,3,5,4,35,忠诚(Loyal)
233,122,7,1768.56,2,3,3,23,流失风险(At Risk)
234,35,14,5197.4,4,4,4,44,冠军(Champions)
235,47,7,779.3,4,3,3,43,忠诚(Loyal)
236,140,8,1173.28,2,3,3,23,流失风险(At Risk)
237,1,28,8490.17,5,5,5,55,冠军(Champions)
238,25,5,760.93,4,2,3,42,新客/高活跃(New)
239,273,4,124.06,1,2,1,12,流失客户(Hibernating)
240,27,8,1627.65,4,3,3,43,忠诚(Loyal)
241,255,2,157.08999999999997,1,1,1,11,流失客户(Hibernating)
242,1,27,19804.11,5,5,5,55,冠军(Champions)
243,1,12,1526.08,5,4,3,54,忠诚(Loyal)
244,298,2,113.67999999999999,1,1,1,11,流失客户(Hibernating)
245,79,8,1714.05,3,3,3,33,忠诚(Loyal)
246,1,24,18209.74,5,5,5,55,冠军(Champions)
247,54,16,4744.29,4,5,4,45,冠军(Champions)
248,154,7,833.78,2,3,3,23,流失风险(At Risk)
249,211,4,385.79999999999995,2,2,2,22,流失客户(Hibernating)
250,1,10,3005.78,5,4,4,54,冠军(Champions)
251,344,2,166.69,1,1,1,11,流失客户(Hibernating)
252,254,2,235.01,1,1,1,11,流失客户(Hibernating)
253,19,11,2966.64,4,4,4,44,冠军(Champions)
254,369,1,57.800000000000004,1,1,1,11,流失客户(Hibernating)
255,46,10,3657.9,4,4,4,44,冠军(Champions)
256,12,9,4153.21,4,3,4,43,忠诚(Loyal)
257,1,28,15832.88,5,5,5,55,冠军(Champions)
258,32,10,2105.39,4,4,4,44,冠军(Champions)
259,122,6,661.06,2,3,3,23,流失风险(At Risk)
260,199,4,224.07999999999998,2,2,1,22,流失客户(Hibernating)
261,18,13,2105.89,4,4,4,44,冠军(Champions)
262,337,2,342.03,1,1,2,11,流失客户(Hibernating)
263,159,2,377.58,2,1,2,21,流失客户(Hibernating)
264,9,17,12015.39,5,5,5,55,冠军(Champions)
265,27,12,4056.69,4,4,4,44,冠军(Champions)
266,127,4,525.63,2,2,2,22,流失客户(Hibernating)
267,204,1,96.88,2,1,1,21,流失客户(Hibernating)
268,27,14,4267.72,4,4,4,44,冠军(Champions)
269,1,13,5183.17,5,4,4,54,冠军(Champions)
270,164,3,325.67,2,1,2,21,流失客户(Hibernating)
271,257,2,129.24,1,1,1,11,流失客户(Hibernating)
272,208,2,304.40999999999997,2,1,2,21,流失客户(Hibernating)
273,274,2,239.27,1,1,1,11,流失客户(Hibernating)
274,87,8,1243.41,3,3,3,33,忠诚(Loyal)
275,12,9,3519.2,4,3,4,43,忠诚(Loyal)
276,31,9,2671.75,4,3,4,43,忠诚(Loyal)
277,129,6,893.3199999999999,2,3,3,23,流失风险(At Risk)
278,1,16,2856.27,5,5,4,55,冠军(Champions)
279,303,1,223.15,1,1,1,11,流失客户(Hibernating)
280,272,3,549.1600000000001,1,1,2,11,流失客户(Hibernating)
281,336,4,469.70000000000005,1,2,2,12,流失客户(Hibernating)
282,12,16,4358.889999999999,4,5,4,45,冠军(Champions)
283,330,1,44.35,1,1,1,11,流失客户(Hibernating)
284,11,14,5811.19,4,4,5,44,冠军(Champions)
285,410,1,135.44,1,1,1,11,流失客户(Hibernating)
286,58,7,922.54,3,3,3,33,忠诚(Loyal)
287,115,7,1372.49,2,3,3,23,流失风险(At Risk)
288,72,12,2006.17,3,4,4,34,忠诚(Loyal)
289,234,1,123.2,1,1,1,11,流失客户(Hibernating)
290,221,4,374.31000000000006,2,2,2,22,流失客户(Hibernating)
291,72,10,2035.21,3,4,4,34,忠诚(Loyal)
292,347,3,524.31,1,1,2,11,流失客户(Hibernating)
293,264,1,118.69999999999999,1,1,1,11,流失客户(Hibernating)
294,1,27,13663.25,5,5,5,55,冠军(Champions)
295,190,4,422.37,2,2,2,22,流失客户(Hibernating)
296,1,15,9331.55,5,4,5,54,冠军(Champions)
297,239,3,504.39,1,2,2,12,流失客户(Hibernating)
298,8,24,22037.07,5,5,5,55,冠军(Champions)
299,175,1,102.84,2,1,1,21,流失客户(Hibernating)
300,208,3,303.18,2,2,2,22,流失客户(Hibernating)
301,38,9,2021.91,4,3,4,43,忠诚(Loyal)
302,121,9,1308.36,2,4,3,24,流失风险(At Risk)
303,84,9,2869.94,3,4,4,34,忠诚(Loyal)
304,1,16,14565.0,5,5,5,55,冠军(Champions)
305,314,2,231.25,1,1,1,11,流失客户(Hibernating)
306,124,8,1457.47,2,3,3,23,流失风险(At Risk)
307,66,14,4486.18,3,4,4,34,忠诚(Loyal)
308,66,9,799.49,3,4,3,34,忠诚(Loyal)
309,72,5,759.12,3,3,3,33,忠诚(Loyal)
310,172,3,131.17,2,2,1,22,流失客户(Hibernating)
311,80,13,4654.73,3,4,4,34,忠诚(Loyal)
312,163,3,153.92000000000002,2,2,1,22,流失客户(Hibernating)
313,165,1,89.60000000000001,2,1,1,21,流失客户(Hibernating)
314,78,6,746.85,3,3,3,33,忠诚(Loyal)
315,49,12,5271.15,4,4,4,44,冠军(Champions)
316,29,5,843.8100000000001,4,3,3,43,忠诚(Loyal)
317,16,16,2551.79,4,5,4,45,冠军(Champions)
318,221,4,231.29000000000002,2,2,1,22,流失客户(Hibernating)
319,51,13,4299.4,4,4,4,44,冠军(Champions)
320,32,15,5082.2300000000005,4,4,4,44,冠军(Champions)
321,11,25,6360.52,4,5,5,45,冠军(Champions)
322,48,5,418.16999999999996,4,3,2,43,新客/高活跃(New)
323,35,4,518.33,4,2,2,42,新客/高活跃(New)
324,64,10,4567.61,3,4,4,34,忠诚(Loyal)
325,347,3,214.23000000000002,1,2,1,12,流失客户(Hibernating)
326,1,27,13203.21,5,5,5,55,冠军(Champions)
327,93,4,253.64999999999998,3,2,2,32,潜力客户(Potential)
328,5,13,2118.29,5,4,4,54,冠军(Champions)
329,20,17,12723.38,4,5,5,45,冠军(Champions)
330,184,4,275.04,2,2,2,22,流失客户(Hibernating)
331,18,6,1052.73,4,3,3,43,忠诚(Loyal)
332,38,14,2526.2200000000003,4,4,4,44,冠军(Champions)
333,1,28,20920.61,5,5,5,55,冠军(Champions)
334,237,2,146.24,1,1,1,11,流失客户(Hibernating)
335,349,2,329.32,1,1,2,11,流失客户(Hibernating)
336,174,3,55.699999999999996,2,2,1,22,流失客户(Hibernating)
337,6,25,21306.18,5,5,5,55,冠军(Champions)
338,1,19,7857.05,5,5,5,55,冠军(Champions)
339,96,4,858.22,3,2,3,32,潜力客户(Potential)
340,266,1,84.32,1,1,1,11,流失客户(Hibernating)
341,38,12,5438.15,4,4,4,44,冠军(Champions)
342,1,24,18919.92,5,5,5,55,冠军(Champions)
343,21,23,8282.210000000001,4,5,5,45,冠军(Champions)
344,47,16,3569.27,4,5,4,45,冠军(Champions)
345,1,19,4625.74,5,5,4,55,冠军(Champions)
346,153,6,523.76,2,3,2,23,流失风险(At Risk)
347,302,1,22.41,1,1,1,11,流失客户(Hibernating)
348,102,9,1286.3899999999999,3,4,3,34,忠诚(Loyal)
349,9,29,7827.16,5,5,5,55,冠军(Champions)
350,86,6,930.69,3,3,3,33,忠诚(Loyal)
351,1,29,27224.48,5,5,5,55,冠军(Champions)
352,261,3,206.93,1,2,1,12,流失客户(Hibernating)
353,52,6,1127.42,4,3,3,43,忠诚(Loyal)
354,1,23,12596.72,5,5,5,55,冠军(Champions)
355,3,15,5431.87,5,4,4,54,冠军(Champions)
356,37,7,566.76,4,3,2,43,新客/高活跃(New)
357,54,7,1596.2399999999998,4,3,3,43,忠诚(Loyal)
358,1,20,16228.56,5,5,5,55,冠军(Champions)
359,147,4,440.18,2,2,2,22,流失客户(Hibernating)
360,61,8,2457.34,3,3,4,33,忠诚(Loyal)
361,123,9,2679.42,2,4,4,24,流失风险(At Risk)
362,23,16,4124.66,4,5,4,45,冠军(Champions)
363,171,2,255.55,2,1,2,21,流失客户(Hibernating)
364,139,4,260.09,2,2,2,22,流失客户(Hibernating)
365,1,16,5644.38,5,5,5,55,冠军(Champions)
366,222,3,386.78,1,2,2,12,流失客户(Hibernating)
367,198,2,368.7,2,1,2,21,流失客户(Hibernating)
368,258,3,239.45,1,2,2,12,流失客户(Hibernating)
369,240,4,85.24000000000001,1,2,1,12,流失客户(Hibernating)
370,6,23,20162.88,5,5,5,55,冠军(Champions)
371,65,8,2001.05,3,3,4,33,忠诚(Loyal)
372,296,1,171.72,1,1,1,11,流失客户(Hibernating)
373,3,27,25907.53,5,5,5,55,冠军(Champions)
374,118,6,928.76,2,3,3,23,流失风险(At Risk)
375,158,4,179.43,2,2,1,22,流失客户(Hibernating)
376,139,2,342.33,2,1,2,21,流失客户(Hibernating)
377,136,6,366.58,2,3,2,23,流失风险(At Risk)
378,41,13,2408.74,4,4,4,44,冠军(Champions)
379,87,6,1173.48,3,3,3,33,忠诚(Loyal)
380,80,8,569.81,3,3,2,33,潜力客户(Potential)
381,355,4,488.77,1,2,2,12,流失客户(Hibernating)
382,77,5,1564.56,3,3,3,33,忠诚(Loyal)
383,30,7,707.76,4,3,3,43,忠诚(Loyal)
384,1,23,17538.93,5,5,5,55,冠军(Champions)
385,251,3,287.39,1,2,2,12,流失客户(Hibernating)
386,58,11,3920.89,3,4,4,34,忠诚(Loyal)
387,1,23,17071.52,5,5,5,55,冠军(Champions)
388,347,2,214.86,1,1,1,11,流失客户(Hibernating)
389,114,5,1268.64,2,3,3,23,流失风险(At Risk)
390,169,2,164.0,2,1,1,21,流失客户(Hibernating)
391,8,16,5310.2,5,5,4,55,冠军(Champions)
392,124,3,435.65,2,2,2,22,流失客户(Hibernating)
393,199,1,129.1,2,1,1,21,流失客户(Hibernating)
394,43,6,597.45,4,3,2,43,新客/高活跃(New)
395,1,24,6342.8,5,5,5,55,冠军(Champions)
396,4,27,6430.97,5,5,5,55,冠军(Champions)
397,3,15,5519.57,5,4,5,54,冠军(Champions)
398,11,22,12712.82,4,5,5,45,冠军(Champions)
399,1,26,12605.04,5,5,5,55,冠军(Champions)
400,1,28,12833.88,5,5,5,55,冠军(Champions)
401,16,9,2360.25,4,4,4,44,冠军(Champions)
402,139,1,162.63,2,1,1,21,流失客户(Hibernating)
403,124,3,110.82000000000001,2,2,1,22,流失客户(Hibernating)
404,1,25,23569.94,5,5,5,55,冠军(Champions)
405,7,9,2991.82,5,4,4,54,冠军(Champions)
406,164,4,487.95,2,2,2,22,流失客户(Hibernating)
407,43,6,887.49,4,3,3,43,忠诚(Loyal)
408,90,4,657.72,3,2,2,32,潜力客户(Potential)
409,131,6,1576.54,2,3,3,23,流失风险(At Risk)
410,353,1,100.97999999999999,1,1,1,11,流失客户(Hibernating)
411,72,9,1788.92,3,4,3,34,忠诚(Loyal)
412,1,29,11401.58,5,5,5,55,冠军(Champions)
413,279,3,249.31,1,2,2,12,流失客户(Hibernating)
414,23,10,4102.81,4,4,4,44,冠军(Champions)
415,3,13,4074.84,5,4,4,54,冠军(Champions)
416,243,2,83.35000000000001,1,1,1,11,流失客户(Hibernating)
417,263,3,564.1700000000001,1,2,2,12,流失客户(Hibernating)
418,138,3,286.36,2,2,2,22,流失客户(Hibernating)
419,256,2,210.36,1,1,1,11,流失客户(Hibernating)
420,300,4,112.1,1,2,1,12,流失客户(Hibernating)
421,336,2,306.84000000000003,1,1,2,11,流失客户(Hibernating)
422,66,12,3879.58,3,4,4,34,忠诚(Loyal)
423,1,23,16765.25,5,5,5,55,冠军(Champions)
424,204,3,165.48,2,2,1,22,流失客户(Hibernating)
425,215,2,123.05000000000001,2,1,1,21,流失客户(Hibernating)
426,336,4,349.46000000000004,1,2,2,12,流失客户(Hibernating)
427,16,14,6573.58,4,4,5,44,冠军(Champions)
428,88,9,1038.37,3,4,3,34,忠诚(Loyal)
429,38,7,767.6800000000001,4,3,3,43,忠诚(Loyal)
430,115,6,840.56,2,3,3,23,流失风险(At Risk)
431,192,3,523.9300000000001,2,2,2,22,流失客户(Hibernating)
432,1,24,12156.06,5,5,5,55,冠军(Champions)
433,1,18,10062.11,5,5,5,55,冠军(Champions)
434,93,6,796.11,3,3,3,33,忠诚(Loyal)
435,59,12,1614.03,3,4,3,34,忠诚(Loyal)
436,9,22,16878.81,5,5,5,55,冠军(Champions)
437,121,6,1066.94,2,3,3,23,流失风险(At Risk)
438,71,7,903.4,3,3,3,33,忠诚(Loyal)
439,109,5,989.9000000000001,3,3,3,33,忠诚(Loyal)
440,30,8,1899.35,4,3,3,43,忠诚(Loyal)
441,241,2,260.42,1,1,2,11,流失客户(Hibernating)
442,71,4,342.05,3,2,2,32,潜力客户(Potential)
443,1,16,6058.65,5,5,5,55,冠军(Champions)
444,39,9,2475.0,4,4,4,44,冠军(Champions)
445,274,3,568.95,1,2,2,12,流失客户(Hibernating)
446,1,19,8640.54,5,5,5,55,冠军(Champions)
447,102,9,2328.24,3,4,4,34,忠诚(Loyal)
448,233,3,186.59000000000003,1,2,1,12,流失客户(Hibernating)
449,7,24,22194.33,5,5,5,55,冠军(Champions)
450,72,8,3342.15,3,3,4,33,忠诚(Loyal)
451,297,4,367.9,1,2,2,12,流失客户(Hibernating)
452,58,4,438.91999999999996,3,2,2,32,潜力客户(Potential)
453,235,3,198.24,1,2,1,12,流失客户(Hibernating)
454,70,11,2215.83,3,4,4,34,忠诚(Loyal)
455,23,8,2139.09,4,3,4,43,忠诚(Loyal)
456,132,3,413.44,2,2,2,22,流失客户(Hibernating)
457,47,11,2648.89,4,4,4,44,冠军(Champions)
458,7,28,15141.68,5,5,5,55,冠军(Champions)
459,18,16,12191.73,4,5,5,45,冠军(Champions)
460,62,7,1805.77,3,3,3,33,忠诚(Loyal)
461,42,12,2787.1,4,4,4,44,冠军(Champions)
462,83,6,604.71,3,3,2,33,潜力客户(Potential)
463,8,29,7132.71,5,5,5,55,冠军(Champions)
464,69,16,4378.4400000000005,3,5,4,35,忠诚(Loyal)
465,52,9,2573.54,4,4,4,44,冠军(Champions)
466,1,19,7870.82,5,5,5,55,冠军(Champions)
