date,revenue,orders,traffic,z_score,anomaly
2024-03-27,52413.45,227,2128,-0.49,0
2024-03-28,52210.32,262,2174,-0.5,0
2024-03-29,58753.98,312,2880,0.44,0
2024-03-30,65699.84,292,3217,1.35,0
2024-03-31,61508.2,282,2690,0.72,0
2024-04-01,55253.69,231,2555,-0.1,0
2024-04-02,56424.16,249,2413,0.08,0
2024-04-03,51616.46,264,2234,-0.56,0
2024-04-04,48077.22,246,2062,-1.07,0
2024-04-05,53926.1,250,2527,-0.27,0
2024-04-06,63526.85,334,3972,1.07,0
2024-04-07,55050.65,278,3050,-0.2,0
2024-04-08,55248.04,274,2765,-0.12,0
2024-04-09,61927.84,265,2929,0.92,0
2024-04-10,55197.48,269,2421,-0.15,0
2024-04-11,44950.63,195,2015,-1.63,0
2024-04-12,53004.32,226,2531,-0.41,0
2024-04-13,80494.75,387,4340,2.97,0
2024-04-14,62286.08,272,2835,0.65,0
2024-04-15,57026.69,253,2100,-0.04,0
2024-04-16,50387.96,276,3140,-0.89,0
2024-04-17,54291.72,262,2598,-0.4,0
2024-04-18,49587.87,264,2321,-1.1,0
2024-04-19,52159.76,280,2954,-0.69,0
2024-04-20,70045.52,307,3374,1.76,0
2024-04-21,73304.18,306,3082,1.99,0
2024-04-22,49554.39,229,2307,-0.99,0
2024-04-23,53840.96,275,2972,-0.42,0
2024-04-24,55632.15,299,3092,-0.16,0
2024-04-25,51259.19,263,2448,-0.72,0
2024-04-26,60983.28,257,2654,0.5,0
2024-04-27,59853.17,267,2400,0.32,0
2024-04-28,61806.01,321,3385,0.56,0
2024-04-29,51536.47,236,2059,-0.71,0
2024-04-30,22507.13,241,2194,-3.36,1
2024-05-01,52088.41,223,2451,-0.35,0
2024-05-02,54720.01,260,2465,-0.08,0
2024-05-03,58142.48,268,2672,0.24,0
2024-05-04,71226.51,335,3607,1.45,0
2024-05-05,67839.18,347,3537,1.05,0
2024-05-06,58213.61,267,2461,0.14,0
2024-05-07,62910.37,334,3987,0.57,0
2024-05-08,58530.12,309,2813,0.13,0
2024-05-09,61142.23,319,3662,0.39,0
2024-05-10,53898.46,295,3067,-0.31,0
2024-05-11,67036.11,344,3816,0.9,0
2024-05-12,61165.09,320,2838,0.3,0
2024-05-13,51925.52,228,2724,-0.56,0
2024-05-14,51227.07,244,2059,-0.6,0
2024-05-15,57016.12,299,2503,0.02,0
2024-05-16,59699.7,314,3713,0.28,0
2024-05-17,58786.35,258,3060,0.17,0
2024-05-18,77490.73,343,3730,1.96,0
2024-05-19,69268.18,378,4488,1.05,0
2024-05-20,62862.05,282,2482,0.44,0
2024-05-21,56010.86,242,2022,-0.21,0
2024-05-22,49384.56,248,2436,-0.91,0
2024-05-23,50484.93,229,1845,-0.78,0
2024-05-24,59390.6,250,2134,0.15,0
2024-05-25,77099.36,407,3325,1.83,0
2024-05-26,68435.65,376,4165,0.93,0
2024-05-27,44133.52,206,1836,-1.37,0
2024-05-28,54690.88,283,2521,-0.34,0
2024-05-29,52110.81,266,2237,-0.59,0
2024-05-30,51932.63,280,2792,-0.91,0
2024-05-31,61792.28,261,2545,0.27,0
2024-06-01,76089.72,329,2773,1.85,0
2024-06-02,74303.11,324,3729,1.52,0
2024-06-03,54894.86,244,2639,-0.62,0
2024-06-04,46443.84,246,2855,-1.47,0
2024-06-05,59773.81,281,3051,0.01,0
2024-06-06,53833.87,280,2606,-0.62,0
2024-06-07,59573.66,300,2525,0.02,0
2024-06-08,79624.68,341,3737,2.02,0
2024-06-09,69025.7,335,3853,0.87,0
2024-06-10,57820.19,303,2994,-0.25,0
2024-06-11,61819.75,290,3201,0.16,0
2024-06-12,57684.49,300,2783,-0.29,0
2024-06-13,56941.96,252,2777,-0.39,0
2024-06-14,58294.44,311,3001,-0.25,0
2024-06-15,77280.83,349,3077,1.62,0
2024-06-16,62255.99,320,3244,0.09,0
2024-06-17,56614.91,247,2879,-0.43,0
2024-06-18,52371.58,285,3346,-0.82,0
2024-06-19,51706.82,242,2612,-0.84,0
2024-06-20,57498.0,271,2734,-0.24,0
2024-06-21,56537.36,283,2323,-0.37,0
2024-06-22,64981.06,274,2821,0.49,0
2024-06-23,71239.56,319,2810,1.1,0
2024-06-24,51193.84,217,1956,-0.98,0
2024-06-25,64650.94,273,3246,0.53,0
2024-06-26,52342.5,237,2754,-0.91,0
2024-06-27,59708.95,262,2572,-0.07,0
2024-06-28,64171.46,326,3462,0.41,0
2024-06-29,66337.16,335,3130,0.62,0
2024-06-30,69785.69,293,2570,0.98,0
2024-07-01,57864.48,294,2555,-0.38,0
2024-07-02,66747.19,293,3160,0.8,0
2024-07-03,59068.4,291,2452,-0.22,0
2024-07-04,56121.1,264,2399,-0.7,0
2024-07-05,55900.39,301,2674,-0.7,0
2024-07-06,69269.87,291,2576,1.08,0
2024-07-07,71278.73,386,4307,1.26,0
2024-07-08,63246.72,333,3914,0.29,0
2024-07-09,57369.08,297,2739,-0.55,0
2024-07-10,59931.12,311,3638,-0.17,0
2024-07-11,58238.71,276,3124,-0.41,0
2024-07-12,53523.79,249,2689,-1.09,0
2024-07-13,74119.24,378,4382,1.82,0
2024-07-14,82713.07,354,2897,2.57,0
2024-07-15,55805.07,301,3112,-0.74,0
2024-07-16,62761.75,293,3260,0.18,0
2024-07-17,60216.39,300,2819,-0.18,0
2024-07-18,60469.93,290,3041,-0.19,0
2024-07-19,60584.73,314,3686,-0.22,0
2024-07-20,124857.5,301,3168,4.51,1
2024-07-21,73186.89,346,3077,0.62,0
2024-07-22,59145.24,309,2948,-0.42,0
2024-07-23,60774.88,296,2448,-0.27,0
2024-07-24,56825.86,275,2414,-0.58,0
2024-07-25,61358.32,315,3512,-0.23,0
2024-07-26,52474.35,225,2344,-0.9,0
2024-07-27,77110.19,355,3640,0.9,0
2024-07-28,69753.14,330,3643,0.34,0
2024-07-29,60429.79,315,3198,-0.34,0
2024-07-30,64632.75,334,3525,-0.02,0
2024-07-31,62646.75,342,4068,-0.18,0
2024-08-01,57491.55,307,3377,-0.54,0
2024-08-02,64099.44,290,2816,-0.06,0
2024-08-03,68835.2,343,3487,0.26,0
2024-08-04,65671.49,314,2630,0.0,0
2024-08-05,59534.28,248,2319,-0.44,0
2024-08-06,51090.94,279,2786,-1.01,0
2024-08-07,52885.57,272,2951,-0.84,0
2024-08-08,67281.81,330,2880,0.2,0
2024-08-09,53295.77,243,2780,-0.81,0
2024-08-10,80174.97,434,5130,1.08,0
2024-08-11,68421.73,300,3580,0.2,0
2024-08-12,60708.08,320,2764,-0.33,0
2024-08-13,64577.53,297,3059,0.0,0
2024-08-14,59545.04,294,2437,-0.39,0
2024-08-15,67869.79,316,3447,0.23,0
2024-08-16,58494.88,251,2481,-0.48,0
2024-08-17,75447.27,344,3539,0.76,0
2024-08-18,75317.97,318,3203,0.71,0
2024-08-19,53494.79,234,2150,-1.28,0
2024-08-20,55010.19,274,3112,-1.01,0
2024-08-21,59357.29,278,2487,-0.45,0
2024-08-22,65236.18,361,3414,0.29,0
2024-08-23,63394.0,291,3085,0.03,0
2024-08-24,71112.24,371,3030,0.98,0
2024-08-25,69887.14,365,4341,0.77,0
2024-08-26,51804.58,228,2113,-1.54,0
2024-08-27,61991.29,305,3418,-0.14,0
2024-08-28,71217.77,307,2572,1.05,0
2024-08-29,58422.99,265,2653,-0.63,0
2024-08-30,74220.4,317,3428,1.37,0
2024-08-31,76747.95,350,2858,1.56,0
2024-09-01,74917.6,402,3485,1.25,0
2024-09-02,58106.81,317,3143,-0.73,0
2024-09-03,67781.57,352,3916,0.42,0
2024-09-04,53093.8,289,3078,-1.28,0
2024-09-05,68734.08,329,3944,0.5,0
2024-09-06,66705.14,322,3123,0.2,0
2024-09-07,66683.73,292,3132,0.2,0
2024-09-08,84146.67,376,4135,2.16,0
2024-09-09,68975.19,353,3530,0.41,0
2024-09-10,72322.94,361,3713,0.81,0
2024-09-11,60256.67,291,2982,-0.69,0
2024-09-12,67079.71,356,3125,0.15,0
2024-09-13,66210.27,281,2249,0.01,0
2024-09-14,76077.82,346,3623,1.19,0
2024-09-15,76365.43,362,2977,1.14,0
2024-09-16,60265.09,305,3654,-0.77,0
2024-09-17,75128.99,349,4014,1.07,0
2024-09-18,62380.48,323,3815,-0.57,0
2024-09-19,63228.82,284,3025,-0.51,0
2024-09-20,67100.62,359,3072,-0.03,0
2024-09-21,73256.9,350,3859,0.77,0
2024-09-22,79435.43,336,3343,1.48,0
2024-09-23,50499.46,232,2710,-2.04,0
2024-09-24,73721.28,383,3803,0.74,0
2024-09-25,69765.6,307,2511,0.21,0
2024-09-26,67508.62,295,2806,-0.11,0
2024-09-27,62588.34,273,2884,-0.7,0
2024-09-28,91448.71,433,3550,2.58,0
2024-09-29,84870.0,424,3403,1.69,0
2024-09-30,56527.82,270,2495,-1.33,0
2024-10-01,56626.57,251,2249,-1.23,0
2024-10-02,66853.82,364,3227,-0.18,0
2024-10-03,62260.79,305,2822,-0.65,0
2024-10-04,66248.87,361,3086,-0.28,0
2024-10-05,86990.14,456,4023,1.85,0
2024-10-06,70240.85,315,2789,0.08,0
2024-10-07,62777.06,280,3218,-0.69,0
2024-10-08,66683.5,317,2579,-0.23,0
2024-10-09,70784.43,316,2889,0.21,0
2024-10-10,63397.28,312,2611,-0.56,0
2024-10-11,59236.83,265,3157,-1.01,0
2024-10-12,69904.42,315,3641,0.14,0
2024-10-13,81080.66,386,3205,1.26,0
2024-10-14,72840.85,346,3442,0.41,0
2024-10-15,62388.7,284,2952,-0.66,0
2024-10-16,68669.18,306,3259,-0.02,0
2024-10-17,65158.15,303,3135,-0.36,0
2024-10-18,68818.4,357,3083,0.01,0
2024-10-19,71625.71,341,3949,0.29,0
2024-10-20,77611.76,335,3165,0.9,0
2024-10-21,73835.06,312,2913,0.49,0
2024-10-22,64177.82,325,2754,-0.51,0
2024-10-23,59592.35,300,3172,-1.12,0
2024-10-24,60051.65,250,2975,-1.0,0
2024-10-25,67476.15,365,4172,-0.13,0
2024-10-26,78544.94,430,4500,1.08,0
2024-10-27,73252.37,387,3664,0.45,0
2024-10-28,67046.98,317,3147,-0.19,0
2024-10-29,62412.67,340,3449,-0.75,0
2024-10-30,73407.88,387,4258,0.73,0
2024-10-31,63716.64,297,2689,-0.73,0
2024-11-01,67168.69,330,3616,-0.21,0
2024-11-02,85167.57,463,4082,2.21,0
2024-11-03,78472.52,346,3675,1.19,0
2024-11-04,61418.89,271,2978,-1.11,0
2024-11-05,62621.57,287,2945,-0.88,0
2024-11-06,54892.75,246,2035,-1.88,0
2024-11-07,67864.16,364,3856,-0.08,0
2024-11-08,75947.65,330,3034,1.01,0
2024-11-09,75748.75,339,3175,0.92,0
2024-11-10,81507.29,406,3354,1.58,0
2024-11-11,63333.09,311,3507,-0.82,0
2024-11-12,71012.61,352,3789,0.25,0
2024-11-13,68617.54,326,3118,-0.06,0
2024-11-14,65841.27,355,4253,-0.47,0
2024-11-15,65202.26,296,2431,-0.54,0
2024-11-16,85883.52,461,3992,2.09,0
2024-11-17,69539.3,317,3398,-0.03,0
2024-11-18,62079.41,335,3021,-0.94,0
2024-11-19,68492.18,356,3917,-0.08,0
2024-11-20,63938.79,310,3412,-0.63,0
2024-11-21,60295.62,307,2951,-1.07,0
2024-11-22,69529.92,293,3120,0.07,0
2024-11-23,75084.91,384,4063,0.74,0
2024-11-24,79047.66,362,2982,1.19,0
2024-11-25,69551.94,329,3945,-0.01,0
2024-11-26,28126.68,321,3360,-3.76,1
2024-11-27,57689.92,267,3153,-0.93,0
2024-11-28,62493.29,262,2858,-0.49,0
2024-11-29,59037.33,312,3516,-0.76,0
2024-11-30,81869.23,425,3848,1.25,0
2024-12-01,72522.29,313,3545,0.4,0
2024-12-02,69092.0,359,3513,0.14,0
2024-12-03,69150.12,361,3507,0.18,0
2024-12-04,73030.59,322,3268,0.51,0
2024-12-05,71082.25,348,3835,0.3,0
2024-12-06,67105.61,355,2913,-0.12,0
2024-12-07,77945.76,362,2899,0.9,0
2024-12-08,80763.59,400,4030,1.14,0
2024-12-09,68101.34,284,2412,-0.04,0
2024-12-10,68045.11,292,2946,-0.01,0
2024-12-11,59456.09,266,2589,-0.84,0
2024-12-12,62774.36,283,3391,-0.48,0
2024-12-13,69812.99,361,4313,0.2,0
2024-12-14,68171.85,297,2410,0.03,0
2024-12-15,78809.24,334,3447,1.01,0
2024-12-16,69550.73,311,3053,0.18,0
2024-12-17,64419.3,312,3174,-0.32,0
2024-12-18,68840.18,294,2947,0.11,0
2024-12-19,75317.1,372,2987,0.73,0
2024-12-20,74055.75,324,2664,0.57,0
2024-12-21,73058.79,360,3840,0.43,0
2024-12-22,73964.3,409,3885,0.51,0
2024-12-23,56577.95,312,3616,-1.16,0
2024-12-24,65584.19,288,2418,-0.23,0
2024-12-25,65604.84,326,3583,-0.21,0
2024-12-26,69915.08,308,2549,0.12,0
2024-12-27,67279.62,342,2884,-0.35,0
2024-12-28,75699.32,403,4003,0.95,0
2024-12-29,87552.8,399,3485,2.55,0
2024-12-30,55106.53,253,2955,-2.18,0
2024-12-31,70848.93,320,3589,0.14,0
2025-01-01,69247.66,311,3464,-0.1,0
2025-01-02,73928.79,324,2940,0.57,0
2025-01-03,61945.34,326,2722,-1.11,0
2025-01-04,90039.33,448,4686,2.5,0
2025-01-05,82409.1,414,3996,1.42,0
2025-01-06,63956.87,269,2766,-0.79,0
2025-01-07,68668.15,332,3454,-0.16,0
2025-01-08,68451.77,323,2824,-0.19,0
2025-01-09,58964.04,296,2759,-1.31,0
2025-01-10,72882.8,322,3177,0.35,0
2025-01-11,82814.18,383,3825,1.48,0
2025-01-12,77721.1,388,4379,0.81,0
2025-01-13,68736.02,315,3180,-0.28,0
2025-01-14,66393.94,281,2319,-0.52,0
2025-01-15,64611.19,306,3438,-0.71,0
2025-01-16,58959.49,306,3030,-1.35,0
2025-01-17,58021.39,278,2561,-1.37,0
2025-01-18,80545.82,394,4172,1.18,0
2025-01-19,89167.16,406,4583,1.95,0
2025-01-20,67260.94,332,3199,-0.33,0
2025-01-21,56889.71,267,2431,-1.32,0
2025-01-22,62685.86,298,2492,-0.77,0
2025-01-23,55432.33,281,2591,-1.44,0
2025-01-24,72541.9,363,3368,0.26,0
2025-01-25,90313.6,490,5520,1.86,0
2025-01-26,76247.58,348,2898,0.5,0
2025-01-27,62647.04,315,2735,-0.74,0
2025-01-28,68023.71,302,3124,-0.18,0
2025-01-29,69373.2,297,3077,-0.1,0
2025-01-30,67740.19,321,3463,-0.25,0
2025-01-31,66464.48,287,2704,-0.37,0
2025-02-01,74767.61,315,2958,0.47,0
2025-02-02,66756.96,348,3410,-0.37,0
2025-02-03,72762.94,321,3828,0.34,0
2025-02-04,64065.56,339,3071,-0.58,0
2025-02-05,74480.91,342,3889,0.57,0
2025-02-06,64896.28,293,2568,-0.51,0
2025-02-07,65174.03,334,3149,-0.46,0
2025-02-08,85799.96,444,4483,1.72,0
2025-02-09,85568.99,361,3584,1.58,0
2025-02-10,61779.1,268,2793,-0.87,0
2025-02-11,65897.67,325,2881,-0.39,0
2025-02-12,67764.07,303,2909,-0.18,0
2025-02-13,66698.28,358,3538,-0.3,0
2025-02-14,70219.52,383,4104,0.06,0
2025-02-15,75221.82,320,2942,0.56,0
2025-02-16,152749.93,403,3645,4.58,1
2025-02-17,82135.08,402,3235,0.5,0
2025-02-18,69396.28,299,3202,-0.19,0
2025-02-19,58323.61,322,2732,-0.81,0
2025-02-20,66612.08,297,2498,-0.36,0
2025-02-21,66465.48,281,2847,-0.38,0
2025-02-22,80705.46,342,4015,0.42,0
2025-02-23,83117.18,435,3697,0.54,0
2025-02-24,73549.8,334,3041,0.0,0
2025-02-25,76342.85,353,2943,0.17,0
2025-02-26,81223.16,363,3759,0.43,0
2025-02-27,66773.0,334,3352,-0.44,0
2025-02-28,58969.45,292,3419,-0.88,0
2025-03-01,89410.69,416,3859,0.88,0
2025-03-02,77592.27,428,4527,0.16,0
2025-03-03,68924.12,292,2457,-0.34,0
2025-03-04,68758.34,310,3488,-0.35,0
2025-03-05,54142.54,277,2936,-1.15,0
2025-03-06,67625.17,342,3265,-0.38,0
2025-03-07,60293.09,273,2790,-0.77,0
2025-03-08,84985.49,372,4368,0.61,0
2025-03-09,92666.18,446,4140,0.98,0
2025-03-10,72449.99,309,2844,-0.14,0
2025-03-11,76807.42,370,3877,0.13,0
2025-03-12,69513.43,370,4231,-0.31,0
2025-03-13,80047.7,363,3318,0.27,0
2025-03-14,77197.81,371,4115,0.09,0
2025-03-15,91828.47,390,3489,0.89,0
2025-03-16,83641.48,443,3826,0.39,0
2025-03-17,61993.46,269,2876,-0.82,0
2025-03-18,64757.63,304,2689,-0.86,0
2025-03-19,69141.78,340,3802,-0.39,0
2025-03-20,69786.51,386,3764,-0.33,0
2025-03-21,71002.37,349,3639,-0.26,0
2025-03-22,82866.56,402,3578,0.9,0
2025-03-23,87969.17,367,3790,1.32,0
2025-03-24,86730.58,400,3296,1.16,0
2025-03-25,75818.59,381,3138,0.11,0
2025-03-26,61981.63,285,3005,-1.2,0
2025-03-27,70441.29,317,2903,-0.36,0
2025-03-28,71053.89,335,3213,-0.27,0
2025-03-29,79733.71,390,3394,0.53,0
2025-03-30,85434.15,442,4702,1.03,0
2025-03-31,70956.04,316,2812,-0.37,0
2025-04-01,73357.85,404,4666,-0.11,0
2025-04-02,78177.74,430,4889,0.36,0
2025-04-03,69815.56,296,2670,-0.51,0
2025-04-04,60806.95,260,3103,-1.55,0
2025-04-05,81227.43,392,3857,0.64,0
2025-04-06,84849.45,455,4853,0.98,0
2025-04-07,75434.22,417,4889,-0.06,0
2025-04-08,75261.68,392,3654,-0.01,0
2025-04-09,73243.65,323,3655,-0.26,0
2025-04-10,79107.53,357,3639,0.46,0
2025-04-11,72969.21,347,3583,-0.32,0
2025-04-12,84781.32,393,4605,1.12,0
2025-04-13,75761.27,360,3563,0.01,0
2025-04-14,73601.14,315,2613,-0.19,0
2025-04-15,69034.06,319,2703,-0.74,0
2025-04-16,71917.08,342,3276,-0.42,0
2025-04-17,77019.96,396,4216,0.25,0
2025-04-18,77413.26,420,3771,0.27,0
2025-04-19,94484.77,484,4444,2.42,0
2025-04-20,77321.88,411,4474,0.1,0
2025-04-21,67693.88,287,3423,-1.13,0
2025-04-22,75360.54,332,3903,-0.05,0
2025-04-23,142134.37,380,3199,4.62,1
2025-04-24,79434.17,399,4587,0.13,0
2025-04-25,71249.79,350,4013,-0.49,0
2025-04-26,79556.89,427,5080,0.09,0
2025-04-27,73363.05,313,3102,-0.37,0
2025-04-28,77469.69,423,4344,-0.06,0
2025-04-29,75508.33,328,3349,-0.18,0
2025-04-30,65881.08,275,3244,-0.87,0
2025-05-01,72578.35,342,3301,-0.38,0
2025-05-02,75572.84,386,3674,-0.15,0
2025-05-03,98488.84,539,5857,1.41,0
2025-05-04,90073.13,419,4548,0.76,0
2025-05-05,73471.01,332,3536,-0.42,0
2025-05-06,77323.57,325,3037,-0.13,0
2025-05-07,71359.04,324,3192,-0.55,0
2025-05-08,65634.82,307,3083,-0.92,0
2025-05-09,74248.84,345,3920,-0.31,0
2025-05-10,91159.41,407,4238,0.85,0
2025-05-11,101285.94,490,4109,1.44,0
2025-05-12,80167.07,439,5166,0.02,0
2025-05-13,82927.04,414,4761,0.19,0
2025-05-14,81811.44,412,4514,0.1,0
2025-05-15,71507.6,312,3592,-0.61,0
2025-05-16,69629.51,381,3408,-0.73,0
2025-05-17,93176.52,408,3939,0.83,0
2025-05-18,87340.29,456,5431,0.41,0
2025-05-19,60760.19,284,2972,-1.28,0
2025-05-20,64175.05,283,3014,-1.01,0
2025-05-21,67868.29,293,2922,-0.77,0
2025-05-22,76394.78,423,4463,-0.22,0
2025-05-23,68673.39,304,3361,-0.86,0
2025-05-24,79899.86,421,4970,0.26,0
2025-05-25,71287.34,344,3619,-0.6,0
2025-05-26,74501.15,348,4102,-0.26,0
2025-05-27,70818.47,348,4028,-0.62,0
2025-05-28,82183.42,387,4046,0.49,0
2025-05-29,73602.75,380,3348,-0.35,0
2025-05-30,72546.66,373,3994,-0.48,0
2025-05-31,104620.47,440,4987,2.37,0
2025-06-01,93971.7,499,4927,1.31,0
2025-06-02,87275.23,386,3433,0.79,0
2025-06-03,72693.54,336,3846,-0.5,0
2025-06-04,76973.9,380,3420,-0.11,0
2025-06-05,71183.88,382,4097,-0.63,0
2025-06-06,78408.92,357,2925,0.02,0
2025-06-07,86414.19,460,4294,0.71,0
2025-06-08,102500.74,508,5795,1.99,0
2025-06-09,77627.58,373,4007,-0.16,0
2025-06-10,76646.29,321,2815,-0.19,0
2025-06-11,68154.87,371,3731,-0.95,0
2025-06-12,78731.56,365,3187,0.07,0
2025-06-13,77211.72,409,3778,-0.06,0
2025-06-14,91723.2,497,5836,1.23,0
2025-06-15,95882.02,401,4693,1.49,0
2025-06-16,72775.01,321,3008,-0.56,0
2025-06-17,88028.39,398,4210,0.86,0
2025-06-18,70983.28,331,3643,-0.79,0
2025-06-19,74081.47,367,3983,-0.54,0
2025-06-20,80233.75,434,3921,0.04,0
2025-06-21,85000.47,398,3330,0.5,0
2025-06-22,93840.44,404,4178,1.3,0
2025-06-23,77438.3,330,3834,-0.35,0
